dates,names,monthly_listeners,popularity,followers,genres,first_release_year,last_release_year,playlists_found
2024-04-01,stayc,3049521.0,63,1782552,"k-pop, k-pop girl group",2020,2024,K-Pop ON! (온)
2024-04-01,langhorne slim,1060777.0,51,163686,"anti-folk, indie folk, modern folk rock, new americana, stomp and holler",2008,2023,Sunrise Run
2024-04-01,hontoni,119199.0,35,60,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,d'verti,46999.0,29,42,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,luke bryan,10460890.0,76,8487512,"contemporary country, country, country road, modern country rock",2007,2023,Sunrise Run
2024-04-01,phoenix feels,84567.0,33,30,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,the boyz,1285501.0,60,2845229,"k-pop, k-pop boy group",2020,2024,K-Pop ON! (온)
2024-04-01,priy,561554.0,49,106,,2022,2023,Meditate to the Sounds of Nature
2024-04-01,wendy,1885379.0,62,907553,"k-pop, korean pop",2015,2024,K-Pop ON! (온)
2024-04-01,floatspace,106755.0,34,386,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,mad season,568020.0,49,598724,"alternative metal, alternative rock, blues rock, grunge, supergroup",1995,1995,Grunge Forever
2024-04-01,little may,221557.0,38,51747,indie folk,2014,2019,Sunrise Run
2024-04-01,john ocean,176072.0,40,4394,background music,2019,2024,Meditate to the Sounds of Nature
2024-04-01,peaceful earth,45499.0,30,78,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,chris cornell,2080900.0,59,2127586,"alternative metal, alternative rock, grunge, hard rock, post-grunge, rock",1999,2020,Grunge Forever
2024-04-01,drew-10,653.0,5,101,,2020,2024,Meditate to the Sounds of Nature
2024-04-01,ashia kashyap,88388.0,33,82,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,j-hope,3919781.0,74,17187002,"k-pop, k-rap",2018,2024,K-Pop ON! (온)
2024-04-01,tomorrow x together,8827250.0,77,9718213,"k-pop, k-pop boy group",2019,2024,K-Pop ON! (온)
2024-04-01,temple of the dog,1531741.0,54,1227103,"alternative metal, alternative rock, grunge, hard rock, rock, supergroup",1990,2016,Grunge Forever
2024-04-01,delta rae,316892.0,42,91258,folk-pop,2012,2022,Sunrise Run
2024-04-01,heal divisions,229015.0,39,70,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,the head and the heart,3591723.0,62,1072496,"folk-pop, seattle indie, stomp and holler",2011,2022,Sunrise Run
2024-04-01,re:inhabit,168710.0,38,233,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,skin yard,44360.0,26,31666,"grunge, underground grunge",1987,2012,Grunge Forever
2024-04-01,helios relaxing space,611536.0,54,7932,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,gaeko,880098.0,62,139091,"k-rap, korean r&b",2014,2023,K-Pop ON! (온)
2024-04-01,kopecky,18210.0,20,21906,nashville indie,2010,2015,Sunrise Run
2024-04-01,campane,98728.0,34,47,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,vance joy,24123895.0,75,3023746,"folk-pop, modern rock",2014,2023,Sunrise Run
2024-04-01,forest gold,122465.0,36,183,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,huh yunjin,6119596.0,68,667285,,2022,2024,K-Pop ON! (온)
2024-04-01,ishara,94435.0,33,144,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,the avett brothers,2338880.0,59,974758,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler",2002,2024,Sunrise Run
2024-04-01,mhino,162612.0,40,137,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,yoon mirae,1935386.0,62,284513,"k-pop, korean ost, korean pop, korean r&b",2001,2023,K-Pop ON! (온)
2024-04-01,soeren zen,517671.0,48,272,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,aurora avery,68593.0,31,64,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,babymonster,3667742.0,64,812906,,2023,2024,K-Pop ON! (온)
2024-04-01,j.y. park,997677.0,50,153494,classic k-pop,2001,2023,K-Pop ON! (온)
2024-04-01,green river,75274.0,32,90197,grunge,1990,2019,Grunge Forever
2024-04-01,max,10687678.0,70,892321,"singer-songwriter pop, teen pop, viral pop",2016,2024,K-Pop ON! (온)
2024-04-01,sacred dreams,286426.0,43,533,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,nct dream,4666237.0,74,7608002,"k-pop, k-pop boy group",2019,2024,K-Pop ON! (온)
2024-04-01,floating portal,16057.0,21,116,,2020,2024,Meditate to the Sounds of Nature
2024-04-01,francois mirere,242545.0,43,109,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,pearl jam,15096498.0,75,8594757,"alternative metal, alternative rock, classic rock, grunge, hard rock, permanent wave, rock",1991,2024,Grunge Forever
2024-04-01,delta spirit,255629.0,40,119651,"modern folk rock, piano rock, stomp and holler",2006,2022,Sunrise Run
2024-04-01,solfeggio dreams,284809.0,49,2116,"healing hz, solfeggio product",2022,2024,Meditate to the Sounds of Nature
2024-04-01,adam by nature,198588.0,41,1819,,2019,2024,Meditate to the Sounds of Nature
2024-04-01,dinosaur jr.,668136.0,51,521457,"alternative rock, lo-fi, noise pop, noise rock, permanent wave, power pop",1985,2021,Grunge Forever
2024-04-01,nmixx,4806390.0,70,2627521,"k-pop, k-pop girl group",2022,2024,K-Pop ON! (온)
2024-04-01,(g)i-dle,12951093.0,77,8785108,k-pop girl group,2020,2024,K-Pop ON! (온)
2024-04-01,sponge,249150.0,40,121779,"grunge, pop rock, post-grunge",1994,2023,Grunge Forever
2024-04-01,itzy,6515716.0,73,7015827,"k-pop, k-pop girl group",2020,2024,K-Pop ON! (온)
2024-04-01,chung ha,2694061.0,62,2166309,k-pop,2019,2024,K-Pop ON! (온)
2024-04-01,toadies,859843.0,49,294958,"alternative rock, grunge, pop rock, post-grunge",1994,2023,Grunge Forever
2024-04-01,veruca salt,457218.0,46,268623,"alternative pop, alternative rock, grunge, lilith, riot grrrl",1994,2023,Grunge Forever
2024-04-01,stone temple pilots,6235488.0,67,3426402,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock",1992,2021,Grunge Forever
2024-04-01,hevios,151961.0,36,88,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,domy castellano,337686.0,49,1107,organic ambient,2023,2024,Meditate to the Sounds of Nature
2024-04-01,ashcan johansen,159407.0,39,233,,2021,2022,Meditate to the Sounds of Nature
2024-04-01,stray kids,8281944.0,82,14875131,"k-pop, k-pop boy group, pop",2018,2023,K-Pop ON! (온)
2024-04-01,riize,3123992.0,65,584561,,2023,2024,K-Pop ON! (온)
2024-04-01,tad,58714.0,30,58047,grunge,1989,1995,Grunge Forever
2024-04-01,dpr ian,4381522.0,70,1260073,k-rap,2020,2023,K-Pop ON! (온)
2024-04-01,lake melville,264162.0,43,58,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,brandi carlile,5260544.0,65,805290,"acoustic pop, ectofolk, folk, indie folk, lilith, modern folk rock, new americana",2005,2024,Sunrise Run
2024-04-01,isobel belano,195169.0,38,845,background music,2019,2024,Meditate to the Sounds of Nature
2024-04-01,george ezra,14495818.0,72,4135338,"folk-pop, neo-singer-songwriter",2013,2023,Sunrise Run
2024-04-01,aisher rami,107044.0,38,79,,2023,2023,Meditate to the Sounds of Nature
2024-04-01,l7,562019.0,47,314314,"alternative rock, grunge, punk, riot grrrl",1988,2023,Grunge Forever
2024-04-01,zephyrical,348397.0,44,218,healing hz,2022,2024,Meditate to the Sounds of Nature
2024-04-01,moon echo,178978.0,38,47,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,illit,2294589.0,69,305003,,2024,2024,K-Pop ON! (온)
2024-04-01,shownu x hyungwon (monsta x),989092.0,48,55179,,2023,2024,K-Pop ON! (온)
2024-04-01,moon garden,214476.0,41,336,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,jarra,35201.0,26,215,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,trampled by turtles,1185609.0,55,387264,"duluth indie, indie folk, jam band, new americana, progressive bluegrass, stomp and holler",2004,2022,Sunrise Run
2024-04-01,iu,7663140.0,73,8459764,"k-pop, pop",2009,2024,K-Pop ON! (온)
2024-04-01,endel,575882.0,53,39644,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,los sobriles,222532.0,40,336,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,p1harmony,1834750.0,64,1085898,"k-pop, k-pop boy group",2020,2024,K-Pop ON! (온)
2024-04-01,v,8801760.0,83,17584997,"j-division, korean ost",2016,2024,K-Pop ON! (온)
2024-04-01,x ambassadors,13807771.0,71,2970334,"modern alternative rock, modern rock, stomp pop",2013,2024,Sunrise Run
2024-04-01,candlebox,1348419.0,53,865350,"alternative metal, grunge, nu metal, post-grunge",1993,2023,Grunge Forever
2024-04-01,blood circus,25764.0,21,2204,underground grunge,2020,2020,Grunge Forever
2024-04-01,ookean,576617.0,49,1484,binaural,2022,2024,Meditate to the Sounds of Nature
2024-04-01,screaming trees,346357.0,44,321609,"alternative rock, grunge",1985,2011,Grunge Forever
2024-04-01,mother love bone,251460.0,42,344719,"alternative rock, funk metal, grunge",1989,2016,Grunge Forever
2024-04-01,half moon run,1271300.0,55,295753,"canadian indie, indie folk, quebec indie",2013,2024,Sunrise Run
2024-04-01,mumford & sons,11063352.0,72,6350877,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana",2009,2024,Sunrise Run
2024-04-01,aatom,65110.0,30,2413,ambient guitar,2020,2024,Meditate to the Sounds of Nature
2024-04-01,andrea accorsi,80057.0,35,470,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,taeyeon,4038589.0,67,2830895,k-pop,2016,2024,K-Pop ON! (온)
2024-04-01,waterbank,110167.0,36,181,,2022,2022,Meditate to the Sounds of Nature
2024-04-01,syla lo,231732.0,43,544,,2020,2024,Meditate to the Sounds of Nature
2024-04-01,gruntruck,44650.0,27,30150,"funk metal, grunge, underground grunge",1992,2017,Grunge Forever
2024-04-01,love battery,51115.0,27,24535,"grunge, underground grunge",1992,1995,Grunge Forever
2024-04-01,sam bucciana,201967.0,39,119,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,marc scibilia,718345.0,50,59005,indiecoustica,2013,2024,Sunrise Run
2024-04-01,divine retreat,95154.0,36,291,,2020,2023,Meditate to the Sounds of Nature
2024-04-01,ajay samra,370979.0,43,488,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,tws,2128056.0,62,205089,,2024,2024,K-Pop ON! (온)
2024-04-01,nolene britton,236270.0,42,178,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,quiet point,234480.0,41,315,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,le sserafim,15986724.0,82,4795106,k-pop girl group,2022,2024,K-Pop ON! (온)
2024-04-01,kiss of life,2919404.0,65,593971,k-pop girl group,2023,2023,K-Pop ON! (온)
2024-04-01,nature on record,585791.0,54,658,"environmental, sound",2019,2023,Meditate to the Sounds of Nature
2024-04-01,reiki nataraj,470215.0,46,177,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,myndstream,1106165.0,53,1133,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,of monsters and men,9772182.0,68,3460370,"folk-pop, metropopolis, modern rock, stomp and holler",2012,2022,Sunrise Run
2024-04-01,seaweed,51977.0,29,20649,underground grunge,1991,2011,Grunge Forever
2024-04-01,boa,1155697.0,54,816659,k-pop,2004,2022,K-Pop ON! (온)
2024-04-01,yooa,575625.0,48,128263,,2018,2024,K-Pop ON! (온)
2024-04-01,hollow graham,47524.0,28,16,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,refugium,105140.0,33,16,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,harmonic pathways,396936.0,52,2098,high vibe,2021,2024,Meditate to the Sounds of Nature
2024-04-01,aydols,175410.0,38,111,,2023,2023,Meditate to the Sounds of Nature
2024-04-01,tranquil journeys,57230.0,33,415,,2022,2023,Meditate to the Sounds of Nature
2024-04-01,sweep bliss,180091.0,38,124,,2023,2023,Meditate to the Sounds of Nature
2024-04-01,re:lx,195822.0,42,437,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,the wind and the wave,280016.0,41,49716,"folk-pop, new americana",2014,2024,Sunrise Run
2024-04-01,jerry cantrell,197878.0,41,294870,"alternative metal, grunge, post-grunge",1998,2022,Grunge Forever
2024-04-01,zilon tay,91173.0,35,105,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,inner purpose,663907.0,49,560,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,dreamdeeper,185921.0,40,264,binaural,2021,2024,Meditate to the Sounds of Nature
2024-04-01,bliss phenomena,525154.0,47,890,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,hole,3155303.0,61,1134092,"alternative rock, grunge, riot grrrl",1991,2012,Grunge Forever
2024-04-01,day6,2401808.0,66,3192983,"k-pop, k-pop boy group",2017,2024,K-Pop ON! (온)
2024-04-01,klxx,38034.0,28,201,,2020,2023,Meditate to the Sounds of Nature
2024-04-01,altum somnum,54728.0,30,100,,2020,2024,Meditate to the Sounds of Nature
2024-04-01,vabali,121376.0,35,142,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,yakamora,249790.0,42,1079,,2017,2023,Meditate to the Sounds of Nature
2024-04-01,everglades,122195.0,39,108,,2020,2024,Meditate to the Sounds of Nature
2024-04-01,cooper sams,249568.0,42,3995,background music,2022,2024,Meditate to the Sounds of Nature
2024-04-01,raf21,163535.0,39,23210,organic ambient,2020,2024,Meditate to the Sounds of Nature
2024-04-01,alma forest,189807.0,41,298,,2021,2023,Meditate to the Sounds of Nature
2024-04-01,blind melon,4535498.0,61,1176749,"alternative metal, alternative rock, grunge, pop rock, rock",1992,2022,Grunge Forever
2024-04-01,enhypen,9808863.0,78,8261674,"anime, k-pop boy group",2021,2024,K-Pop ON! (온)
2024-04-01,zen anani,103007.0,34,137,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,soundgarden,7512871.0,68,4295245,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",1989,2019,Grunge Forever
2024-04-01,spiritualizer,198575.0,41,262,,2022,2023,Meditate to the Sounds of Nature
2024-04-01,ophra,57711.0,32,137,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,pedro caceres,252974.0,41,650,sleep,2019,2024,Meditate to the Sounds of Nature
2024-04-01,alice in chains,8379597.0,72,4936756,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",1990,2018,Grunge Forever
2024-04-01,atmospheric lights,231114.0,43,588,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,ateez,3593876.0,72,3775578,"k-pop, k-pop boy group",2019,2024,K-Pop ON! (온)
2024-04-01,the law,658358.0,47,4739,,2002,2015,Sunrise Run
2024-04-01,cravity,741701.0,52,657391,k-pop,2020,2024,K-Pop ON! (온)
2024-04-01,jung kook,28295541.0,86,13666218,k-pop,2022,2023,K-Pop ON! (온)
2024-04-01,mystisse,507987.0,47,187,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,aviaries,57221.0,26,14,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,ive,7852822.0,74,3854163,k-pop girl group,2021,2024,K-Pop ON! (온)
2024-04-01,now & anatma,133153.0,37,191,singing bowl,2022,2024,Meditate to the Sounds of Nature
2024-04-01,taeyong,2440062.0,64,1297210,k-pop,2017,2024,K-Pop ON! (온)
2024-04-01,bibi,5546536.0,68,1365402,"k-pop, korean r&b",2021,2024,K-Pop ON! (온)
2024-04-01,montana plains,81435.0,33,178,,2019,2024,Meditate to the Sounds of Nature
2024-04-01,aespa,8157559.0,74,4963902,k-pop girl group,2022,2024,K-Pop ON! (온)
2024-04-01,ara amar,336480.0,44,507,,2021,2024,Meditate to the Sounds of Nature
2024-04-01,melvins,507091.0,49,384084,"alternative metal, alternative rock, grunge, punk, sludge metal, stoner metal",2005,2022,Grunge Forever
2024-04-01,malfunkshun,31220.0,23,31420,"funk metal, grunge",1995,2021,Grunge Forever
2024-04-01,sleeptherapy,278460.0,55,7038,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,lord huron,26026021.0,76,1519733,"indie folk, stomp and holler",2012,2023,Sunrise Run
2024-04-01,nirvana,31294285.0,81,18985217,"grunge, permanent wave, rock",1989,2023,Grunge Forever
2024-04-01,blind pilot,765163.0,50,251494,"indie folk, portland indie, stomp and holler",2008,2016,Sunrise Run
2024-04-01,wavve,43817.0,29,50,,2023,2023,Meditate to the Sounds of Nature
2024-04-01,solvekin,550529.0,49,1571,"background music, healing hz",2023,2024,Meditate to the Sounds of Nature
2024-04-01,inner calmness,61706.0,31,54,,2023,2023,Meditate to the Sounds of Nature
2024-04-01,hans heeler,93701.0,34,102,,2023,2023,Meditate to the Sounds of Nature
2024-04-01,kacey musgraves,27291405.0,80,1371264,"classic texas country, contemporary country, country dawn",2013,2024,Sunrise Run
2024-04-01,nature pulse,224202.0,43,142,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,cthulhu ramón,198546.0,39,106,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,local natives,1867129.0,56,643091,"chamber pop, indie rock, la indie, modern rock, shimmer pop, stomp and holler",2010,2024,Sunrise Run
2024-04-01,hieling,186364.0,40,53,,2022,2024,Meditate to the Sounds of Nature
2024-04-01,bush,3266072.0,61,1828689,"alternative metal, alternative rock, grunge, nu metal, pop rock, post-grunge, rock",2001,2023,Grunge Forever
2024-04-01,flyndon,310023.0,45,182,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,viviz,3435882.0,63,541908,"k-pop, k-pop girl group",2022,2023,K-Pop ON! (온)
2024-04-01,mudhoney,356187.0,43,283344,"alternative rock, grunge, punk",1989,2023,Grunge Forever
2024-04-01,edward sharpe & the magnetic zeros,6116019.0,63,1011879,"la indie, stomp and holler",2006,2016,Sunrise Run
2024-04-01,escix v,312721.0,44,279,,2023,2024,Meditate to the Sounds of Nature
2024-04-01,foo fighters,21081750.0,77,11543511,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",1995,2023,Grunge Forever
2024-04-01,twice,12083924.0,81,19836512,"k-pop, k-pop girl group, pop",2017,2024,K-Pop ON! (온)
2024-04-01,luvt,61585.0,33,302,,2023,2024,Meditate to the Sounds of Nature
2024-04-02,dylan scott,7061805.0,70,1616759,"contemporary country, country road, modern country rock",2017,2024,Breakout Country
2024-04-02,john mayer,14713874.0,77,5910163,"neo mellow, singer-songwriter",1999,2021,Feel Good Acoustic
2024-04-02,nick ward,53967.0,28,5013,australian alternative pop,2018,2024,GLOW
2024-04-02,aurora avery,68358.0,31,64,,2021,2023,Meditate to the Sounds of Nature
2024-04-02,teddy swims,40510940.0,82,1724446,,2023,2024,Chill Pop
2024-04-02,meadow park,268805.0,42,977,,2021,2023,Jazz for Sleep
2024-04-02,vance joy,24147427.0,75,3024605,"folk-pop, modern rock",2014,2023,Feel Good Acoustic
2024-04-02,brennan heart,2613048.0,62,302394,"classic hardstyle, euphoric hardstyle, rawstyle",2009,2024,Hardstyle Bangers
2024-04-02,ailee,1708455.0,58,1126935,k-pop,2015,2024,노래방 인기가요 (Singing Room K-Pop)
2024-04-02,los sobriles,220834.0,40,339,,2021,2024,Meditate to the Sounds of Nature
2024-04-02,jt,3306818.0,61,84102,,2019,2024,Singled Out
2024-04-02,the avett brothers,2328584.0,60,974863,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler",2002,2024,Sunrise Run
2024-04-02,kiss of life,2936029.0,65,597022,k-pop girl group,2023,2023,K-Pop ON! (온)
2024-04-02,daddy yankee,50757729.0,86,33354428,"latin hip hop, reggaeton, trap latino, urbano latino",2002,2024,Ultimate Party Classics
2024-04-02,tim mcgraw,9099788.0,71,4442371,"contemporary country, country, country road",1999,2023,Country Gold
2024-04-02,sza,71672229.0,91,18721338,"pop, r&b, rap",2014,2024,Chill Pop
2024-04-02,zayn,27005784.0,76,22740197,"pop, uk pop",2016,2024,Chill Pop
2024-04-02,huh gak,133352.0,39,93080,korean pop,2013,2024,노래방 인기가요 (Singing Room K-Pop)
2024-04-02,jelly roll,13092703.0,78,3316614,"country rap, nashville hip hop, tennessee hip hop",2013,2023,Breakout Country
2024-04-02,bern-at & warlex,175734.0,39,2571,,2019,2024,Hardstyle Bangers
2024-04-02,frawley,1294635.0,54,125479,"alt z, singer-songwriter pop",2019,2023,Breakout Country
2024-04-02,shawn mendes,45391312.0,82,42366745,"canadian pop, pop, viral pop",2015,2023,Feel Good Acoustic
2024-04-02,t.i.,10432958.0,74,4656066,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",2001,2023,Throwback Workout
2024-04-02,alma forest,189701.0,41,298,,2021,2023,Meditate to the Sounds of Nature
2024-04-02,maroon 5,63246242.0,85,41112377,pop,2002,2023,Feel Good Acoustic
2024-04-02,forest blakk,4255186.0,62,150492,singer-songwriter pop,2021,2024,Chill Pop
2024-04-02,randall peterson,160785.0,37,12,,2023,2024,Jazz for Sleep
2024-04-02,calvin harris,67917512.0,86,22488559,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",2007,2024,Ultimate Party Classics
2024-04-02,kesha,35249769.0,78,7715033,"dance pop, pop",2010,2023,Throwback Workout
2024-04-02,ne-yo,36202876.0,80,8564723,"dance pop, pop, r&b, urban contemporary",2006,2024,Ultimate Party Classics
2024-04-02,lil moshpit,28317.0,29,10104,k-rap,2022,2023,KrOWN
2024-04-02,sarah kang,1261463.0,56,143683,nyc pop,2022,2024,Chill Pop
2024-04-02,p1harmony,1822976.0,64,1087464,"k-pop, k-pop boy group",2020,2024,Hallyu Boy Bands
2024-04-02,marynn taylor,111486.0,34,7711,"country pop, modern country pop",2020,2024,Women of Country
2024-04-02,tiger jk,350852.0,54,47826,k-rap,1995,2024,KrOWN
2024-04-02,yountoven,16852.0,22,9813,"k-pop ballad, korean pop",2019,2024,노래방 인기가요 (Singing Room K-Pop)
2024-04-02,ray love,248697.0,43,33,,2023,2024,Jazz for Sleep
2024-04-02,marvin gaye,19373427.0,74,5239635,"classic soul, motown, neo soul, northern soul, quiet storm, soul",1977,2023,Ultimate Party Classics
2024-04-02,everypage,4291.0,11,44,,2020,2024,KrOWN
2024-04-02,yohji igarashi,48140.0,31,2950,,2018,2024,GLOW
2024-04-02,brittney spencer,4976348.0,62,27139,black americana,2019,2024,Women of Country
2024-04-02,gwen stefani,17077645.0,73,6388274,"dance pop, pop",2004,2024,Throwback Workout
2024-04-02,enrique iglesias,29323335.0,78,10817088,"dance pop, latin pop, mexican pop",1995,2024,Breakout Country
2024-04-02,nct dream,4704254.0,75,7611557,"k-pop, k-pop boy group",2019,2024,노래방 인기가요 (Singing Room K-Pop)
2024-04-02,adam by nature,198015.0,41,1820,,2019,2024,Meditate to the Sounds of Nature
2024-04-02,kim feel,377318.0,46,110913,korean pop,2019,2024,노래방 인기가요 (Singing Room K-Pop)
2024-04-02,jamey johnson,2912435.0,60,735942,"country, country road, outlaw country",2005,2023,Country Gold
2024-04-02,raf21,162670.0,39,23250,organic ambient,2020,2024,Meditate to the Sounds of Nature
2024-04-02,lou bega,4945275.0,60,115841,latin pop,1999,2021,Ultimate Party Classics
2024-04-02,jp cooper,7289405.0,65,890679,uk pop,2017,2024,Feel Good Acoustic
2024-04-02,the human experience,583612.0,50,77551,"high vibe, world fusion",2010,2024,Feel Good Acoustic
2024-04-02,zerb,8908959.0,68,58523,,2020,2024,Singled Out
2024-04-02,elton john,51565848.0,83,13006913,"glam rock, mellow gold, piano rock, rock",1993,2022,Ultimate Party Classics
2024-04-02,naeleck,9039316.0,69,74935,"electro, hypertechno",2021,2024,Hardstyle Bangers
2024-04-02,ron bladworth,131526.0,38,141,,2023,2024,Jazz for Sleep
2024-04-02,sean paul,33252447.0,80,4558624,"dance pop, dancehall, pop, pop rap",2000,2024,Ultimate Party Classics
2024-04-02,mark with a k,631369.0,49,71323,"belgian edm, euphoric hardstyle, jumpstyle",2009,2024,Hardstyle Bangers
2024-04-02,bewhy,472043.0,49,318536,k-rap,2015,2023,KrOWN
2024-04-02,lim changjung,98630.0,38,114740,korean pop,1997,2023,노래방 인기가요 (Singing Room K-Pop)
2024-04-02,the partysquad,759225.0,49,85585,"dutch hip hop, moombahton",2006,2024,Hardstyle Bangers
2024-04-02,hailey whitters,1794573.0,56,78893,"contemporary country, country pop, modern country pop",2015,2024,Breakout Country
2024-04-02,bluewhale,8194.0,16,1472,,2019,2024,KrOWN
2024-04-02,smith & thell,1272558.0,56,152214,swedish pop,2017,2024,Feel Good Acoustic
2024-04-02,hardy,8495501.0,74,825670,"contemporary country, modern country pop",2019,2024,Country Gold
2024-04-02,the monkees,5299726.0,62,1169151,"album rock, beatlesque, bubblegum pop, classic rock, folk rock, heartland rock, mellow gold, psychedelic rock, rock, rock-and-roll, singer-songwriter, soft rock, sunshine pop",1967,2020,Ultimate Party Classics
2024-04-02,twenty one pilots,28080210.0,82,23953526,"modern rock, pop, pov: indie, rock",2009,2024,Feel Good Acoustic
2024-04-02,hozier,36403547.0,85,6679949,"irish singer-songwriter, modern rock, pov: indie",2014,2024,Chill Pop
2024-04-02,lucy patané,17396.0,26,13655,"argentine indie, cantautora argentina",2019,2024,GLOW
2024-04-02,danielle bradbery,1068049.0,51,305359,"contemporary country, country pop, country road",2013,2023,Women of Country
2024-04-02,sokodomo,136546.0,41,51360,k-rap,2019,2024,KrOWN
2024-04-02,dpr ian,4352364.0,70,1261217,k-rap,2020,2023,K-Pop ON! (온)
2024-04-02,colby o'donis,437114.0,67,156667,,2008,2022,Ultimate Party Classics
2024-04-02,yung joc,1357284.0,63,800477,"atl hip hop, crunk, dirty south rap, southern hip hop, trap",2006,2023,Throwback Workout
2024-04-02,(g)i-dle,12938010.0,77,8791578,k-pop girl group,2020,2024,노래방 인기가요 (Singing Room K-Pop)
2024-04-02,carver jones,71549.0,30,880,,2023,2024,Chill Pop
2024-04-02,padi,106553.0,34,1571,,2021,2023,KrOWN
2024-04-02,ole 60,2536026.0,63,96493,modern country pop,2023,2024,Breakout Country
2024-04-02,crazy jack,218810.0,41,2009,,2024,2024,Hardstyle Bangers
2024-04-02,sam hunt,7677389.0,69,2275801,"contemporary country, country, country pop, modern country rock",2014,2024,Country Drive
2024-04-02,mon & marz,6343.0,17,1221,,2022,2024,GLOW
2024-04-02,corey kent,4137885.0,63,145758,"modern country pop, texas country",2020,2024,Country Drive
2024-04-02,lainey wilson,7620659.0,72,610569,"contemporary country, modern country pop",2016,2024,Country Gold
2024-04-02,ciara,11885321.0,70,6419164,"dance pop, hip pop, pop, r&b, urban contemporary",2004,2023,Throwback Workout
2024-04-02,billie eilish,65916845.0,88,92936466,"art pop, pop",2017,2023,Chill Pop
2024-04-02,jayesslee,460128.0,47,116778,viral pop,2012,2020,Feel Good Acoustic
2024-04-02,lil wayne,37112046.0,85,14286502,"hip hop, new orleans rap, pop rap, rap, trap",2008,2023,Throwback Workout
2024-04-02,magdalena bay,1116372.0,55,195421,la pop,2019,2023,Singled Out
2024-04-02,tuneboy,957969.0,53,36109,"classic hardstyle, euphoric hardstyle",2017,2023,Hardstyle Bangers
2024-04-02,bass x machina,81464.0,31,1923,,2023,2024,Hardstyle Bangers
2024-04-02,franck byrne,268824.0,42,22,,2023,2024,Jazz for Sleep
2024-04-02,rita ora,12108662.0,72,8231022,"dance pop, pop, uk pop",2012,2024,Feel Good Acoustic
2024-04-02,carl dwight,127252.0,40,46,,2023,2024,Jazz for Sleep
2024-04-02,alpha,1228.0,44,771,,2020,2023,Hardstyle Bangers
2024-04-02,skinny brown,93414.0,46,60172,k-rap,2020,2024,KrOWN
